,Name,Population2021,Crime2021,,,
,City of Saskatoon,282900,31741,,,
,Adelaide/Churchill,3669,103,,,
,Arbor Creek,5174,88,,,
,Aspen Ridge,1126,53,,,
,Avalon,3347,146,,,
,Blairmore Urban Centre,1524,276,,,
,Brevoort Park,3901,378,,,
,Briarwood,5325,106,,,
,Brighton,2231,132,,,
,Buena Vista,3262,202,,,
,Caswell Hill,3430,797,,,
,City Park,4456,1021,,,
,College Park,5965,505,,,
,College Park East,4747,392,,,
,Confederation Park,7086,381,,,
,Confederation Urban Centre,978,938,,,
,Downtown,3106,5023,,,
,Dundonald,5793,262,,,
,Eastview,3733,147,,,
,Erindale,4379,91,,,
,Evergreen,8832,146,,,
,Exhibition,2619,230,,,
,Fairhaven,5214,362,,,
,Forest Grove,5838,261,,,
,Greystone Heights,2787,475,,,
,Grosvenor Park,1600,219,,,
,Hampton Village,8848,270,,,
,Haultain,2963,181,,,
,Holiday Park,1685,184,,,
,Holliston,3793,307,,,
,Hudson Bay Park,2219,280,,,
,Kelsey - Woodlawn,908,375,,,
,Kensington,3752,160,,,
,King George,2034,387,,,
,Lakeridge,3900,81,,,
,Lakeview,7543,214,,,
,Lakewood Urban Centre,2487,99,,,
,Lawson Heights,5049,133,,,
,Lawson Heights Urban Centre,1475,200,,,
,Massey Place,3616,371,,,
,Mayfair,2996,757,,,
,Meadowgreen,4423,843,,,
,Montgomery Place,3150,88,,,
,Mount Royal,5207,993,,,
,North Park,2012,165,,,
,Nutana,5968,778,,,
,Nutana Park,2959,112,,,
,Nutana Urban Centre,2974,223,,,
,Pacific Heights,4509,192,,,
,Parkridge,5278,186,,,
,Pleasant Hill,4820,2204,,,
,Queen Elizabeth,2635,143,,,
,Richmond Heights,933,34,,,
,River Heights,4471,199,,,
,Riversdale,2534,1142,,,
,Rosewood,6157,157,,,
,Silverspring,5126,80,,,
,Silverwood Heights,10624,246,,,
,Stonebridge,14778,619,,,
,Sutherland,5377,557,,,
,The Willows,762,14,,,
,University Heights Urban Centre,1709,142,,,
,Varsity View,3642,578,,,
,Westmount,2722,499,,,
,Westview,3972,270,,,
,Wildwood,7906,521,,,
,WIllowgrove,8523,128,,,
